Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Utilities,25000009185,300000.00,DNV USA Inc,Agency Request,"Inspection Manager, Field Manager, Scheduling, Tracking Digital Solutions and Pipeline Compliance Inspection Software","Non Professional Services, Non Technology",03/24/2025 12:00:00 AM,03/23/2035 12:00:00 AM
Human Services,25000009281,43200.00,Padagis LLC,Small Purchase,"Req 250010186 Quote # Padagis02072025 for purchase of Naloxone HCI Nasal Spray 4mg for Michael Fatula, Opioid Coordinator","Supplies, Non Technology",03/21/2025 12:00:00 AM,03/20/2026 12:00:00 AM
Public Works,25000009292,27953460.00,Caton Construction Group Inc,Invitation to Bid,IFB 250006553 / VDOT / Hull Street Phase I / 730 Day Performance Time,Construction - Capital/Non-Capital,03/10/2025 12:00:00 AM,03/21/2027 12:00:00 AM
Public Works,25000009293,2517490.00,"Econolite Systems, Inc",Request for Proposal,RFP #240006371 is for the Centralized Transit Signal Priority (TSP)/ Emergency Vehicle Preemption (EVP) Project. It shall expire five years after the final system acceptance date. With two (2) one (1) year renewals.,"Non Professional Services, Technology",06/26/2025 12:00:00 AM,06/25/2030 12:00:00 AM
Public Works,25000009332,2066701.25,"Richardson-Wayland-Ferreira, LLC",Invitation to Bid,"Previous Contract# 24000010255, IFB# 240007089 - Semmes Ave / 34th Street Traffic Signal (UPC 113446) and Forest Hill Streetscape Design (UPC 113445) Performance time is 320 consecutive days (previously paid $40,288.49)",Construction - Capital/Non-Capital,04/22/2024 12:00:00 AM,07/21/2025 12:00:00 AM
Public Works,25000009333,198795.42,"Richardson-Wayland-Ferreira, LLC",Invitation to Bid,"Previous Contract# 24000008750, IFB# 240007234 - Chamberlayne Avenue @ Bacon Street - performance time is 240 consecutive days",Construction - Capital/Non-Capital,06/03/2024 12:00:00 AM,06/02/2025 12:00:00 AM
Public Utilities,25000009370,9409300.00,Southwood Building Systems Inc,Invitation to Bid,Requisition 250006984 - IFB - CSO Interim Plan Project - For construction contractor services for Richmond CSO Interim Plan Project - CSO 021 & 40# 1/15 Improvements.,"Non Professional Services, Non Technology",05/05/2025 12:00:00 AM,07/28/2026 12:00:00 AM
Public Utilities,25000009374,780370.00,Trashco LLC,Invitation to Bid,Formerly Agr 20000006877- See Note to file. IFB/ Services Non Professional and Non Technology / Department of Public Utilities / Landfill Dumping Services / Initial Term Two (2) years with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",03/02/2020 12:00:00 AM,03/01/2026 12:00:00 AM
Public Works,25000009586,3530975.50,JIREH CONSTRUCTION CO INC,Invitation to Bid,Requisition 250003146 - East Main/Williamsburg Intersection Construction.,Construction - Capital/Non-Capital,03/20/2025 12:00:00 AM,07/19/2026 12:00:00 AM
Public Works,25000009825,1521694.30,FLB Contractors Inc,Invitation to Bid,IFB 250001969 - Lynhaven Ave over Broad Rock Creek bridge replacement - Duration 365 days,Construction - Capital/Non-Capital,10/20/2025 12:00:00 AM,10/20/2026 12:00:00 AM
